# Columns:
# 1. RA [deg]
# 2. Dec [deg]
# 3. Redshift in observation
# 4. Weight of this object in computing the cross-correlation
219.374741 -1.142057 0.014051 1.000000
177.022387 0.991332 0.010324 1.000000
169.886334 0.379001 0.025390 1.000000
151.799395 0.809070 0.021247 1.000000
191.718887 -1.961214 0.015985 1.000000
178.222652 -1.449052 0.018761 1.000000
185.987182 -1.499726 0.025033 1.000000
191.714347 -1.552252 0.022937 1.000000
166.035339 64.079893 0.032258 1.000000
157.940804 63.594597 0.036655 1.000000
115.658443 38.248604 0.011170 1.000000
136.130043 55.295347 0.013686 1.000000
136.290612 55.563935 0.012372 1.000000
256.002476 60.065930 0.031267 1.000000
169.733631 63.286593 0.014458 1.000000
237.065890 52.809925 0.052050 1.000000
121.880156 46.224187 0.023809 1.000000
138.690712 59.726334 0.013836 1.000000
149.289456 64.001383 0.017674 1.000000
150.014000 64.414545 0.018521 1.000000
127.222535 52.056181 0.064636 1.000000
166.994711 65.819347 0.039021 1.000000
234.686927 56.714223 0.010596 1.000000
137.701168 60.056610 0.017243 1.000000
216.754595 1.669882 0.054383 1.000000
179.787116 3.668789 0.010887 1.000000
188.016912 2.958594 0.029416 1.000000
156.184808 60.424048 0.027790 1.000000
163.590218 2.193472 0.026156 1.000000
172.331478 3.089538 0.017285 1.000000
123.656430 41.748527 0.031429 1.000000
228.099738 57.521313 0.062230 1.000000
176.795464 65.641623 0.021746 1.000000
140.184064 3.223397 0.012988 1.000000
147.175243 3.690084 0.010072 1.000000
140.943192 2.752979 0.016859 1.000000
145.223420 3.651014 0.012113 1.000000
179.884484 6.107749 0.021211 1.000000
114.215890 30.891697 0.015182 1.000000
227.277823 3.517908 0.049353 1.000000
190.042066 6.064821 0.018604 1.000000
171.985073 3.710806 0.021964 1.000000
191.120319 4.172234 0.018062 1.000000
249.186645 43.124980 0.030958 1.000000
245.654239 42.515996 0.030205 1.000000
225.365626 55.526098 0.037198 1.000000
214.383283 58.365261 0.042878 1.000000
180.715166 62.935446 0.020804 1.000000
217.825236 58.761287 0.010316 1.000000
204.483459 -1.624682 0.022270 1.000000
214.064081 -1.464557 0.036359 1.000000
231.468694 -1.004912 0.028885 1.000000
251.873984 40.565742 0.031085 1.000000
215.889654 5.752964 0.025666 1.000000
218.379424 6.372301 0.026241 1.000000
228.146929 6.050009 0.035656 1.000000
139.655187 44.598020 0.014213 1.000000
182.415710 56.156751 0.016642 1.000000
139.068593 42.332496 0.029267 1.000000
179.525570 52.987033 0.012250 1.000000
134.467095 46.564226 0.027875 1.000000
133.560952 37.887698 0.042737 1.000000
138.438274 39.904520 0.027384 1.000000
118.251574 26.713320 0.081872 1.000000
186.611554 49.111201 0.011828 1.000000
151.826616 44.277507 0.011255 1.000000
227.212158 40.712152 0.030482 1.000000
128.293732 33.114150 0.020914 1.000000
141.904139 41.353738 0.033428 1.000000
150.825966 44.873690 0.011499 1.000000
150.509385 45.201737 0.116460 1.000000
184.096303 51.087264 0.011711 1.000000
150.759191 5.870567 0.021477 1.000000
166.049423 7.606982 0.031723 1.000000
129.127362 5.166106 0.013556 1.000000
192.245404 60.514384 0.037712 1.000000
146.393241 7.918201 0.025669 1.000000
160.036503 9.274681 0.018079 1.000000
184.748742 48.870974 0.022417 1.000000
184.840336 49.203245 0.027708 1.000000
175.512572 49.356995 0.024367 1.000000
